
---------- Begin Simulation Statistics ----------
final_tick                                 5382351000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  74264                       # Simulator instruction rate (inst/s)
host_mem_usage                                 675120                       # Number of bytes of host memory used
host_op_rate                                   139967                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   134.65                       # Real time elapsed on the host
host_tick_rate                               39971673                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000001                       # Number of instructions simulated
sim_ops                                      18847133                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.005382                       # Number of seconds simulated
sim_ticks                                  5382351000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  12128650                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  5848821                       # number of cc regfile writes
system.cpu.committedInsts                    10000001                       # Number of Instructions Simulated
system.cpu.committedOps                      18847133                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.076470                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.076470                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    530891                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   291656                       # number of floating regfile writes
system.cpu.idleCycles                           87038                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                59500                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2186894                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.854809                       # Inst execution rate
system.cpu.iew.exec_refs                      4072447                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1665744                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  880024                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2444507                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 79                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1806                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1701884                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            20534189                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2406703                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            105872                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              19966471                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6905                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                705410                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  50312                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                719146                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            212                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        43175                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          16325                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  22619685                       # num instructions consuming a value
system.cpu.iew.wb_count                      19900113                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.609364                       # average fanout of values written-back
system.cpu.iew.wb_producers                  13783623                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.848645                       # insts written-back per cycle
system.cpu.iew.wb_sent                       19927673                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 30951993                       # number of integer regfile reads
system.cpu.int_regfile_writes                15932409                       # number of integer regfile writes
system.cpu.ipc                               0.928962                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.928962                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            198877      0.99%      0.99% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              15352581     76.49%     77.48% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                86122      0.43%     77.91% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                117634      0.59%     78.49% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               42889      0.21%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  464      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                22654      0.11%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                33595      0.17%     78.99% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              121884      0.61%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                330      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash2              0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash             0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha256Hash2            0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma2              0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShaSigma3              0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::SimdPredAlu                0      0.00%     79.60% # Type of FU issued
system.cpu.iq.FU_type_0::MemRead              2329052     11.60%     91.20% # Type of FU issued
system.cpu.iq.FU_type_0::MemWrite             1523549      7.59%     98.79% # Type of FU issued
