
---------- Begin Simulation Statistics ----------
final_tick                                 5341607500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  68954                       # Simulator instruction rate (inst/s)
host_mem_usage                                 675120                       # Number of bytes of host memory used
host_op_rate                                   129959                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   145.02                       # Real time elapsed on the host
host_tick_rate                               36832571                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000001                       # Number of instructions simulated
sim_ops                                      18847133                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.005342                       # Number of seconds simulated
sim_ticks                                  5341607500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  12072741                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  5811106                       # number of cc regfile writes
system.cpu.committedInsts                    10000001                       # Number of Instructions Simulated
system.cpu.committedOps                      18847133                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.068321                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.068321                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                    528944                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   290351                       # number of floating regfile writes
system.cpu.idleCycles                           85139                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                54849                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  2173200                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.851909                       # Inst execution rate
system.cpu.iew.exec_refs                      4026204                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1648850                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  859060                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               2415263                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 66                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              1749                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1688388                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            20300385                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               2377354                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            107605                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              19784348                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   6918                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                713190                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  46319                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                726912                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            197                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        39704                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          15145                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  22450535                       # num instructions consuming a value
system.cpu.iew.wb_count                      19729995                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.609142                       # average fanout of values written-back
system.cpu.iew.wb_producers                  13675554                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.846822                       # insts written-back per cycle
system.cpu.iew.wb_sent                       19754000                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 30673982                       # number of integer regfile reads
system.cpu.int_regfile_writes                15794129                       # number of integer regfile writes
system.cpu.ipc                               0.936048                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.936048                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            195227      0.98%      0.98% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              15215827     76.49%     77.47% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                86116      0.43%     77.91% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                117628      0.59%     78.50% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               42730      0.21%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.71% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  454      0.00%     78.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                22643      0.11%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                33202      0.17%     79.00% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              121540      0.61%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                310      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.61% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.61% # Type of FU issued
