
---------- Begin Simulation Statistics ----------
final_tick                                21477458000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  59766                       # Simulator instruction rate (inst/s)
host_mem_usage                                 949344                       # Number of bytes of host memory used
host_op_rate                                   119380                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   501.95                       # Real time elapsed on the host
host_tick_rate                               42787685                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    30000002                       # Number of instructions simulated
sim_ops                                      59923262                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.021477                       # Number of seconds simulated
sim_ticks                                 21477458000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  31137110                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 18513079                       # number of cc regfile writes
system.cpu.committedInsts                    30000002                       # Number of Instructions Simulated
system.cpu.committedOps                      59923262                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.431830                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.431830                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1760225                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   856346                       # number of floating regfile writes
system.cpu.idleCycles                         2335470                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               369535                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  6759851                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.565789                       # Inst execution rate
system.cpu.iew.exec_refs                     14180040                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    5270628                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1871797                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               9348244                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1425                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts             20961                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              5614466                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            70883267                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               8909412                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            527853                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              67258333                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  18022                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               1031575                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 332600                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               1054795                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           5174                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       260079                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         109456                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  76045992                       # num instructions consuming a value
system.cpu.iew.wb_count                      66901193                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.621402                       # average fanout of values written-back
system.cpu.iew.wb_producers                  47255118                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.557475                       # insts written-back per cycle
system.cpu.iew.wb_sent                       67076077                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                102295125                       # number of integer regfile reads
system.cpu.int_regfile_writes                53550134                       # number of integer regfile writes
system.cpu.ipc                               0.698407                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.698407                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           1008985      1.49%      1.49% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              51630990     76.17%     77.66% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               119844      0.18%     77.83% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 77315      0.11%     77.95% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd               50424      0.07%     78.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  96      0.00%     78.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.02% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.02% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                20564      0.03%     78.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.05% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               249004      0.37%     78.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   68      0.00%     78.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                99344      0.15%     78.57% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              171632      0.25%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     78.82% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift              10388      0.02%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               9      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               5      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt             109      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               1      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult             54      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     78.83% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     78.83% # Type of FU issued
