
---------- Begin Simulation Statistics ----------
final_tick                                 6886015000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  64757                       # Simulator instruction rate (inst/s)
host_mem_usage                                 725120                       # Number of bytes of host memory used
host_op_rate                                   103719                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   154.42                       # Real time elapsed on the host
host_tick_rate                               44591752                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    10000004                       # Number of instructions simulated
sim_ops                                      16016672                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.006886                       # Number of seconds simulated
sim_ticks                                  6886015000                       # Number of ticks simulated
system.cpu.cc_regfile_reads                   9668859                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  8782927                       # number of cc regfile writes
system.cpu.committedInsts                    10000004                       # Number of Instructions Simulated
system.cpu.committedOps                      16016672                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               1.377203                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         1.377203                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   1009722                       # number of floating regfile reads
system.cpu.fp_regfile_writes                   534177                       # number of floating regfile writes
system.cpu.idleCycles                          132529                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               153591                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  1445733                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.440757                       # Inst execution rate
system.cpu.iew.exec_refs                      4832083                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    1595525                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 1500421                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               3927511                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                916                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              4135                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              1666984                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            23250555                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               3236558                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            341477                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              19842152                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  10306                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               2453231                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 131912                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               2467236                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            352                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        80879                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect          72712                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  25775432                       # num instructions consuming a value
system.cpu.iew.wb_count                      19599234                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.574899                       # average fanout of values written-back
system.cpu.iew.wb_producers                  14818263                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.423119                       # insts written-back per cycle
system.cpu.iew.wb_sent                       19710703                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 30980297                       # number of integer regfile reads
system.cpu.int_regfile_writes                16031187                       # number of integer regfile writes
system.cpu.ipc                               0.726110                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         0.726110                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass            215817      1.07%      1.07% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              14552716     72.10%     73.17% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult                   82      0.00%     73.17% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                 48434      0.24%     73.41% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              132641      0.66%     74.07% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     74.07% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                1467      0.01%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     74.08% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                 9075      0.04%     74.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     74.12% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                39891      0.20%     74.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    6      0.00%     74.32% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                20355      0.10%     74.42% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc              256609      1.27%     75.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     75.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     75.69% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift               5844      0.03%     75.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     75.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     75.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     75.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     75.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     75.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     75.72% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt            8218      0.04%     75.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     75.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     75.76% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult           3701      0.02%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     75.78% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     75.78% # Type of FU issued
