
---------- Begin Simulation Statistics ----------
final_tick                                41456638500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  83508                       # Simulator instruction rate (inst/s)
host_mem_usage                                 675120                       # Number of bytes of host memory used
host_op_rate                                   157310                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  1197.49                       # Real time elapsed on the host
host_tick_rate                               34619539                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                   100000001                       # Number of instructions simulated
sim_ops                                     188377356                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.041457                       # Number of seconds simulated
sim_ticks                                 41456638500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 120291906                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 58329274                       # number of cc regfile writes
system.cpu.committedInsts                   100000001                       # Number of Instructions Simulated
system.cpu.committedOps                     188377356                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.829133                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.829133                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   5533969                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3141185                       # number of floating regfile writes
system.cpu.idleCycles                           87354                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               507786                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 22205226                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     2.371985                       # Inst execution rate
system.cpu.iew.exec_refs                     39561557                       # number of memory reference insts executed
system.cpu.iew.exec_stores                   15938839                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                 5371822                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts              23995633                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 70                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts              7421                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts             16314887                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts           201916961                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts              23622718                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           1185366                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts             196669040                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  36713                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents               3413446                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 399934                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles               3490267                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents           1257                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect       383602                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         124184                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 220361759                       # num instructions consuming a value
system.cpu.iew.wb_count                     196161552                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.620410                       # average fanout of values written-back
system.cpu.iew.wb_producers                 136714590                       # num instructions producing a value
system.cpu.iew.wb_rate                       2.365864                       # insts written-back per cycle
system.cpu.iew.wb_sent                      196357888                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                299767490                       # number of integer regfile reads
system.cpu.int_regfile_writes               156000481                       # number of integer regfile writes
system.cpu.ipc                               1.206079                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.206079                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass           1752794      0.89%      0.89% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu             152184162     76.92%     77.80% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               763971      0.39%     78.19% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                854038      0.43%     78.62% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd              477106      0.24%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                  32      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  471      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     78.86% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu               193770      0.10%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                   20      0.00%     78.96% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt               394049      0.20%     79.16% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc             1256682      0.64%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                331      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               4      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              2      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     79.79% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSha1Hash               0      0.00%     79.79% # Type of FU issued
